STATcube

"Deceased (ABO Q)"
"Year under review and Todesursachen ICD/10 Version 2013 - 3-Steller - Verletzungen by Deceased"
"Counting: Deceased"

,"Counting","Deceased","Deceased - Annotations",
,"Akzidentelle Vergiftung durch und Exposition gegenüber Schädlingsbekämpfungsmittel(n) [Pestizide(n)]",-,,
,"Akzidentelle Vergiftung durch und Exposition gegenüber sonstige(n) und nicht näher bezeichnete(n) Chemikalien und schädliche(n) Substanzen",-,"ABO",
,"Überanstrengung und anstrengende oder wiederholte Bewegungen",-,"ABO",
,"Reisen und passive Fortbewegung",-,,
,"Längerer Aufenthalt in Schwerelosigkeit",-,,
,"Nahrungsmangel",-,,
,"Wassermangel",-,,
,"Nicht näher bezeichnete Entbehrung",-,,
,"Exposition gegenüber sonstigen näher bezeichneten Faktoren",-,,
,"Exposition gegenüber nicht näher bezeichnetem Faktor",-,"ABO",
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber nichtopioidhaltige(n) Analgetika, Antipyretika und Antirheumatika",-,"ABO",
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber Antiepileptika, Hypnotika, Antiparkinsonmittel(n) und psychotrope(n) Substanzen, anderenorts nicht klassifiziert",-,"ABO",
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber Betäubungsmittel(n) und Psychodysleptika [Halluzinogene(n)], anderenorts nicht klassifiziert",-,"ABO",
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber sonstige(n) Arzneimittel(n) mit Wirkung auf das autonome Nervensystem",-,,
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber sonstige(n) und nicht näher bezeichnete(n) Arzneimittel(n), Drogen und biologisch aktive(n) Substanzen",-,"ABO",
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber Alkohol",-,,
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber organische(n) Lösungsmittel(n) oder halogenierte(n) Kohlenwasserstoffe(n) und deren Dämpfe(n)",-,"ABO",
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber sonstige(n) Gase(n) und Dämpfe(n)",-,"ABO",
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber Schädlingsbekämpfungsmittel(n) [Pestizide(n)]",-,,
,"Vorsätzliche Selbstvergiftung durch und Exposition gegenüber sonstige(n) oder nicht näher bezeichnete(n) Chemikalien und schädliche(n) Substanzen",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Erhängen, Strangulierung oder Ersticken",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Ertrinken und Untergehen",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Handfeuerwaffe",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Gewehr, Schrotflinte oder schwerere Feuerwaffe [Schußwaffe]",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch sonstige oder nicht näher bezeichnete Feuerwaffe [Schußwaffe]",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Explosivstoffe",-,,
,"Vorsätzliche Selbstbeschädigung durch Rauch, Feuer und Flammen",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Wasserdampf, heiße Dämpfe oder heiße Gegenstände",-,,
,"Vorsätzliche Selbstbeschädigung durch scharfen Gegenstand",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch stumpfen Gegenstand",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Sturz in die Tiefe",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch Sichwerfen oder Sichlegen vor ein sich bewegendes Objekt",-,"ABO",
,"Vorsätzliche Selbstbeschädigung durch absichtlich verursachten Kraftfahrzeugunfall",-,"ABO",
,"Vorsätzliche Selbstbeschädigung auf sonstige näher bezeichnete Art und Weise",-,"ABO",
,"Vorsätzliche Selbstbeschädigung auf nicht näher bezeichnete Art und Weise",-,"ABO",
,"Tätlicher Angriff mit Arzneimitteln, Drogen oder biologisch aktiven Substanzen",-,"ABO",
,"Tätlicher Angriff mit ätzender Substanz",-,,
,"Tätlicher Angriff mit Schädlingsbekämpfungsmitteln [Pestizide]",-,,
,"Tätlicher Angriff mit Gasen oder Dämpfen",-,,
,"Tätlicher Angriff mit sonstigen näher bezeichneten Chemikalien oder schädlichen Substanzen",-,,
,"Tätlicher Angriff mit nicht näher bezeichneter Chemikalie oder schädlicher Substanz",-,,
,"Tätlicher Angriff durch Erhängen, Strangulierung oder Ersticken",-,"ABO",
,"Tätlicher Angriff durch Ertränken",-,,
,"Tätlicher Angriff mit Handfeuerwaffe",-,"ABO",
,"Tätlicher Angriff mit Gewehr, Schrotflinte oder schwererer Feuerwaffe [Schußwaffe]",-,,
,"Tätlicher Angriff mit sonstiger oder nicht näher bezeichneter Feuerwaffe [Schußwaffe]",-,"ABO",
,"Tätlicher Angriff mit Explosivstoffen",-,,
,"Tätlicher Angriff mit Rauch, Feuer und Flammen",-,,
,"Tätlicher Angriff mit Wasserdampf, heißen Dämpfen oder heißen Gegenständen",-,,
,"Tätlicher Angriff mit scharfem Gegenstand",-,"ABO",
,"Tätlicher Angriff mit stumpfem Gegenstand",-,"ABO",
,"Tätlicher Angriff mit Stoß in die Tiefe",-,,
,"Tätlicher Angriff mit Stoßen oder Legen des Opfers vor ein sich bewegendes Objekt",-,,
,"Tätlicher Angriff durch vorsätzlich verursachten Kraftfahrzeugunfall",-,,
,"Tätlicher Angriff mit körperlicher Gewalt",-,"ABO",
,"Notzucht unter körperlicher Gewaltanwendung",-,,
,"Vernachlässigung und Verlassen",-,,
,"Sonstige Arten der Mißhandlung",-,"ABO",
,"Tätlicher Angriff auf sonstige näher bezeichnete Art und Weise",-,,
,"Tätlicher Angriff auf nicht näher bezeichnete Art und Weise",-,"ABO",
,"Vergiftung durch und Exposition gegenüber nichtopioidhaltige(n) Analgetika, Antipyretika und Antirheumatika, Umstände unbestimmt",-,"ABO",
,"Vergiftung durch und Exposition gegenüber Antiepileptika, Sedativa, Hypnotika, Antiparkinsonmittel(n) und psychotrope(n) Substanzen, anderenorts nicht klassifiziert, Umstände unbestimmt",-,"ABO",
,"Vergiftung durch und Exposition gegenüber Betäubungsmittel(n) und Psychodysleptika [Halluzinogene(n)], anderenorts nicht klassifiziert, Umstände unbestimmt",-,"ABO",
,"Vergiftung durch und Exposition gegenüber sonstige(n) Arzneimittel(n) mit Wirkung auf das autonome Nervensystem, Umstände unbestimmt",-,,
,"Vergiftung durch und Exposition gegenüber sonstige(n) und nicht näher bezeichnete(n) Arzneimittel(n), Drogen und biologisch aktive(n) Substanzen, Umstände unbestimmt",-,"ABO",
,"Vergiftung durch und Exposition gegenüber Alkohol, Umstände unbestimmt",-,"ABO",
,"Vergiftung durch und Exposition gegenüber organische(n) Lösungsmittel(n) und halogenierte(n) Kohlenwasserstoffe(n) und deren Dämpfe(n), Umstände unbestimmt",-,,
,"Vergiftung durch und Exposition gegenüber sonstige(n) Gase(n) und Dämpfe(n), Umstände unbestimmt",-,"ABO",
,"Vergiftung durch und Exposition gegenüber Schädlingsbekämpfungsmittel(n) [Pestizide(n)], Umstände unbestimmt",-,,
,"Vergiftung durch und Exposition gegenüber sonstige(n) und nicht näher bezeichnete(n) Chemikalien und schädliche(n) Substanzen, Umstände unbestimmt",-,"ABO",
,"Erhängen, Strangulierung oder Ersticken, Umstände unbestimmt",-,"ABO",
,"Ertrinken und Untergehen, Umstände unbestimmt",-,"ABO",
,"Schuß aus Handfeuerwaffe, Umstände unbestimmt",-,,
,"Schuß aus Gewehr, Schrotflinte oder schwererer Feuerwaffe [Schußwaffe], Umstände unbestimmt",-,,
,"Schuß aus sonstiger oder nicht näher bezeichneter Feuerwaffe [Schußwaffe], Umstände unbestimmt",-,"ABO",
,"Kontakt mit Explosivstoffen, Umstände unbestimmt",-,,
,"Exposition gegenüber Rauch, Feuer und Flammen, Umstände unbestimmt",-,"ABO",
,"Verbrennung oder Verbrühung durch Wasserdampf, heiße Dämpfe oder heiße Gegenstände, Umstände unbestimmt",-,"ABO",
,"Kontakt mit scharfem Gegenstand, Umstände unbestimmt",-,"ABO",
,"Kontakt mit stumpfem Gegenstand, Umstände unbestimmt",-,"ABO",
,"Stürzen, Springen oder Gestoßenwerden in die Tiefe, Umstände unbestimmt",-,"ABO",
,"Stürzen, Legen oder Rennen vor oder in ein sich bewegendes Objekt, Umstände unbestimmt",-,"ABO",
,"Unfall eines Kraftfahrzeuges, Umstände unbestimmt",-,,
,"Sonstige näher bezeichnete Ereignisse, Umstände unbestimmt",-,"ABO",
,"Nicht näher bezeichnetes Ereignis, Umstände unbestimmt",-,"ABO",
,"Gesetzliche Maßnahme",-,"ABO",
,"Verletzungen durch Kriegshandlungen",-,,
,"Systemisch wirkende Antibiotika",-,,
,"Sonstige systemisch wirkende Antiinfektiva und Antiparasitika",-,,
,"Hormone, deren synthetische Ersatzstoffe und Antagonisten, anderenorts nicht klassifiziert",-,"ABO",
,"Primär systemisch wirkende Mittel",-,,
,"Primär auf das Blut wirkende Mittel",-,,
,"Analgetika, Antipyretika und Antiphlogistika",-,,
,"Antiepileptika und Antiparkinsonmittel",-,,
,"Sedativa, Hypnotika und Anxiolytika",-,,
,"Anästhetika und therapeutische Gase",-,"ABO",
,"Psychotrope Substanzen, anderenorts nicht klassifiziert",-,"ABO",
,"Stimulanzien des Zentralnervensystems, anderenorts nicht klassifiziert",-,,
,"Primär auf das autonome Nervensystem wirkende Arzneimittel",-,,
,"Primär auf das Herz-Kreislaufsystem wirkende Mittel",-,,
,"Primär auf den Magen-Darmtrakt wirkende Mittel",-,,
,"Primär auf den Wasserhaushalt sowie auf den Mineral- und Harnsäurestoffwechsel wirkende Mittel",-,,
,"Primär auf die glatte Muskulatur, die Skelettmuskulatur und das Atmungssystem wirkende Mittel",-,,
,"Primär auf Haut und Schleimhaut wirkende sowie in der Augen-, der Hals-Nasen-Ohren- und der Zahnheilkunde topisch angewendete Arzneimittel",-,,
,"Sonstige und nicht näher bezeichnete Arzneimittel oder Drogen",-,,
,"Bakterielle Impfstoffe",-,,
,"Sonstige und nicht näher bezeichnete Impfstoffe und biologisch aktive Substanzen",-,,
,"Versehentliche(r) Schnitt, Punktion, Perforation oder Blutung bei chirurgischem Eingriff und medizinischer Behandlung",-,"ABO",
,"Fremdkörper, versehentlich bei chirurgischem Eingriff oder bei medizinischer Behandlung im Körper zurückgeblieben",-,,
,"Unzulängliche aseptische Kautelen bei chirurgischem Eingriff und medizinischer Behandlung",-,,
,"Dosierungsfehler bei chirurgischem Eingriff und medizinischer Behandlung",-,,
,"Kontaminierte medizinisch oder biologisch aktive Substanzen",-,"ABO",
,"Sonstige Zwischenfälle bei chirurgischem Eingriff und medizinischer Behandlung",-,"ABO",
,"Unterlassener chirurgischer Eingriff und unterlassene medizinische Behandlung (einschließlich vorzeitigen Abbruchs)",-,,
,"Nicht näher bezeichnete Zwischenfälle bei chirurgischem Eingriff und medizinischer Behandlung",-,,
,"Zur Anästhesie benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur Herz-Kreislauf-Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur otorhinolaryngologischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur gastroenterologischen oder urologischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,"ABO",
,"Im Allgemeinkrankenhaus [Spital] oder zur Selbstanwendung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur neurologischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur geburtshilflichen und gynäkologischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur ophthalmologischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur radiologischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Zur orthopädischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,"ABO",
,"Zur physiotherapeutischen Behandlung benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"In der allgemeinen und plastischen Chirurgie benutzte medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,,
,"Sonstige und nicht näher bezeichnete medizintechnische Geräte und Produkte im Zusammenhang mit Zwischenfällen",-,"ABO",
,"Chirurgischer Eingriff und sonstige chirurgische Maßnahmen als Ursache einer abnormen Reaktion eines Patienten oder einer späteren Komplikation, ohne Angabe eines Zwischenfalls zum Zeitpunkt der Durchführung der Maßnahme",-,"ABO",
,"Sonstige medizinische Maßnahmen als Ursache einer abnormen Reaktion eines Patienten oder einer späteren Komplikation, ohne Angabe eines Zwischenfalls zum Zeitpunkt der Durchführung der Maßnahme",-,"ABO",
,"Folgezustände nach Transportmittelunfällen",-,"ABO",
,"Folgezustände nach sonstigen Unfällen",-,"ABO",
,"Folgezustände nach vorsätzlicher Selbstbeschädigung, tätlichem Angriff oder einem Ereignis, dessen nähere Umstände unbestimmt sind",-,"ABO",
,"Folgezustände von chirurgischem Eingriff und medizinischer Behandlung als äußere Ursache",-,"ABO",
,"Folgezustände nach sonstigen äußeren Ursachen",-,"ABO",
"2017","Schweres akutes respiratorisches Syndrom [SARS]",-,,
,"Fußgänger bei Zusammenstoß mit Fahrrad verletzt",-,"ABO",
,"Fußgänger bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,"ABO",
,"Fußgänger bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,"ABO",
,"Fußgänger bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,"ABO",
,"Fußgänger bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,"ABO",
,"Fußgänger bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Fußgänger bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,"ABO",
,"Benutzer eines Fahrrades bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines Fahrrades bei Zusammenstoß mit anderem Fahrrad verletzt",-,,
,"Benutzer eines Fahrrades bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Benutzer eines Fahrrades bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,"ABO",
,"Benutzer eines Fahrrades bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,"ABO",
,"Benutzer eines Fahrrades bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Benutzer eines Fahrrades bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines Fahrrades bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,,
,"Benutzer eines Fahrrades bei Transportmittelunfall ohne Zusammenstoß verletzt",-,"ABO",
,"Benutzer eines Fahrrades bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,"ABO",
,"Benutzer eines Motorrades bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines Motorrades bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Benutzer eines Motorrades bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,"ABO",
,"Benutzer eines Motorrades bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,"ABO",
,"Benutzer eines Motorrades bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,"ABO",
,"Benutzer eines Motorrades bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Benutzer eines Motorrades bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines Motorrades bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,"ABO",
,"Benutzer eines Motorrades bei Transportmittelunfall ohne Zusammenstoß verletzt",-,"ABO",
,"Benutzer eines Motorrades bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,"ABO",
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit anderem zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,"ABO",
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei Transportmittelunfall ohne Zusammenstoß verletzt",-,,
,"Benutzer eines dreirädrigen Kraftfahrzeuges bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines Personenkraftwagens bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei Transportmittelunfall ohne Zusammenstoß verletzt",-,"ABO",
,"Benutzer eines Personenkraftwagens bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,"ABO",
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines Lieferwagens bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,"ABO",
,"Benutzer eines Lieferwagens bei Transportmittelunfall ohne Zusammenstoß verletzt",-,"ABO",
,"Benutzer eines Lieferwagens bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,"ABO",
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Benutzer eines Lastkraftwagens bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,"ABO",
,"Benutzer eines Lastkraftwagens bei Transportmittelunfall ohne Zusammenstoß verletzt",-,"ABO",
,"Benutzer eines Lastkraftwagens bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,"ABO",
,"Autobusbenutzer bei Zusammenstoß mit Fußgänger oder Tier verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit Fahrrad verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit zwei- oder dreirädrigem Kraftfahrzeug verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit Personenkraftwagen oder Lieferwagen verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit Lastkraftwagen oder Autobus verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit Eisenbahnzug oder Eisenbahnfahrzeug verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit sonstigem nichtmotorisiertem Fahrzeug verletzt",-,,
,"Autobusbenutzer bei Zusammenstoß mit feststehendem Gegenstand verletzt",-,,
,"Autobusbenutzer bei Transportmittelunfall ohne Zusammenstoß verletzt",-,,
,"Autobusbenutzer bei sonstigen und nicht näher bezeichneten Transportmittelunfällen verletzt",-,,
,"Reiter oder Benutzer eines tierbespannten Fahrzeuges bei Transportmittelunfall verletzt",-,"ABO",
,"Benutzer eines Eisenbahnzuges oder Eisenbahnfahrzeuges bei Transportmittelunfall verletzt",-,,
,"Straßenbahnbenutzer bei Transportmittelunfall verletzt",-,,
,"Benutzer eines vorwiegend auf Betriebsgelände eingesetzten Spezialfahrzeuges bei Transportmittelunfall verletzt",-,,
,"Benutzer eines vorwiegend in der Landwirtschaft eingesetzten Spezialfahrzeuges bei Transportmittelunfall verletzt",-,"ABO",
,"Benutzer eines Baustellen-Spezialfahrzeuges bei Transportmittelunfall verletzt",-,"ABO",
,"Benutzer eines geländegängigen Spezialfahrzeuges oder eines sonstigen vorwiegend für die Benutzung abseits von Straßen vorgesehenen Kraftfahrzeuges bei Transportmittelunfall verletzt",-,"ABO",
,"Transportmittelunfall mit näherer Angabe des Unfallherganges, jedoch unbekannter Fortbewegungsart des Unfallopfers",-,,
,"Transportmittelunfall außerhalb des Verkehrs mit näherer Angabe des Unfallherganges, jedoch unbekannter Fortbewegungsart des Unfallopfers",-,"ABO",
,"Unfall eines motorisierten oder nichtmotorisierten Fahrzeuges, Fahrzeugtyp nicht näher bezeichnet",-,"ABO",
,"Wasserfahrzeugunfall mit Ertrinken und Untergehen",-,,
,"Wasserfahrzeugunfall mit sonstigen Verletzungen",-,,
,"Ertrinken und Untergehen im Wasserverkehr ohne Unfall des Wasserfahrzeuges",-,,
,"Unfall an Bord eines Wasserfahrzeuges ohne Unfall des Wasserfahrzeuges und ohne Ertrinken und Untergehen",-,,
,"Sonstige und nicht näher bezeichnete Wasserverkehrsunfälle",-,"ABO",
,"Unfall eines Luftfahrzeuges mit Kraftantrieb, der eine Verletzung von Insassen verursacht",-,"ABO",
,"Unfall eines Luftfahrzeuges ohne Kraftantrieb mit Verletzung von Insassen",-,"ABO",
,"Sonstige näher bezeichnete Luftverkehrsunfälle",-,,
,"Sonstige näher bezeichnete Transportmittelunfälle",-,,
,"Nicht näher bezeichneter Transportmittelunfall",-,"ABO",
,"Sturz auf gleicher Ebene bei Eis und Schnee",-,"ABO",
,"Sturz auf gleicher Ebene durch Ausgleiten, Stolpern oder Straucheln",-,"ABO",
,"Sturz bei Benutzung von Schlittschuhen, Skiern, Rollschuhen oder Skateboards",-,"ABO",
,"Sonstiger Sturz auf gleicher Ebene durch Zusammenstoß mit einer anderen Person oder durch Drängen und Stoßen durch eine andere Person",-,,
,"Sturz während des Getragen- oder Gestütztwerdens durch andere Person(en)",-,"ABO",
,"Sturz im Zusammenhang mit Rollstuhl",-,"ABO",
,"Sturz im Zusammenhang mit Bett",-,"ABO",
,"Sturz im Zusammenhang mit Stuhl",-,"ABO",
,"Sturz im Zusammenhang mit sonstigem Mobiliar",-,"ABO",
,"Sturz im Zusammenhang mit Spielplatzgerät",-,,
,"Sturz auf oder von Treppen oder Stufen",-,"ABO",
,"Sturz auf oder von Leitern",-,"ABO",
,"Sturz auf oder vom Gerüst",-,"ABO",
,"Sturz von, aus oder durch Gebäude(n) oder Bauwerke(n)",-,"ABO",
,"Sturz vom Baum",-,"ABO",
,"Sturz von Klippe",-,"ABO",
,"Verletzung beim Tauchen oder Sprung ins Wasser ohne Ertrinken oder Untergehen",-,,
,"Sonstige Stürze von einer Ebene auf eine andere",-,"ABO",
,"Sonstige Stürze auf gleicher Ebene",-,"ABO",
,"Nicht näher bezeichneter Sturz",-,"ABO",
,"Unfall durch geworfenen, geschleuderten oder fallenden Gegenstand",-,"ABO",
,"Unfall durch Stoß gegen oder Getroffenwerden von Sportgerät",-,,
,"Unfall durch Stoß gegen oder Getroffenwerden von sonstige(n) Gegenstände(n)",-,"ABO",
,"Unfall durch Eingeklemmtwerden, Eingequetschtwerden, Eingezwängtwerden oder Hängenbleiben zwischen Gegenständen",-,"ABO",
,"Unfall durch Hebegeräte und Kraftübertragungsmaschinen, anderenorts nicht klassifiziert",-,"ABO",
,"Unfall durch scharfes Glas",-,"ABO",
,"Unfall durch Messer, Schwert oder Dolch",-,,
,"Unfall durch Handwerkzeuge ohne Kraftantrieb",-,,
,"Unfall durch Rasenmäher mit Kraftantrieb",-,,
,"Unfall durch sonstige Handwerkzeuge mit Kraftantrieb oder elektrische Haushaltsgeräte",-,,
,"Unfall durch Landmaschinen",-,"ABO",
,"Unfall durch sonstige und nicht näher bezeichnete Maschinen",-,,
,"Unfall durch Handfeuerwaffe",-,,
,"Unfall durch Gewehr, Schrotflinte und schwerere Feuerwaffe [Schußwaffe]",-,"ABO",
,"Unfall durch sonstige und nicht näher bezeichnete Feuerwaffen [Schußwaffen]",-,,
,"Explosion oder Platzen eines Kessels",-,,
,"Explosion oder Platzen einer Gasflasche",-,,
,"Explosion oder Platzen eines unter Druck stehenden Reifens, Rohres oder Schlauches",-,"ABO",
,"Explosion oder Platzen von sonstigen näher bezeichneten unter Druck stehenden Geräten",-,"ABO",
,"Abbrennen von Feuerwerkskörper(n)",-,,
,"Explosion sonstiger stofflicher Substanzen",-,"ABO",
,"Exposition gegenüber Hochdruckstrahl",-,,
,"Exposition gegenüber Lärm",-,,
,"Exposition gegenüber Vibration",-,,
,"Eindringen eines Fremdkörpers in oder durch das Auge oder eine natürliche Körperöffnung",-,"ABO",
,"Eindringen eines Fremdkörpers oder Gegenstandes durch die Haut",-,,
,"Kontakt mit einer Injektionsnadel",-,,
,"Exposition gegenüber sonstigen oder nicht näher bezeichneten unbelebten mechanischen Kräften",-,,
,"Gestoßen-, Geschlagen-, Getreten-, Gezerrt-, Gebissen- oder Gekratztwerden von einer anderen Person",-,,
,"Stoß gegen oder Zusammenprall mit eine(r) andere(n) Person",-,,
,"Gequetscht-, Gestoßen- oder Niedergetretenwerden bei Menschenansammlung oder von in Panik geratener Menschenmenge",-,,
,"Rattenbiß",-,,
,"Gebissen- oder Gestoßenwerden vom Hund",-,,
,"Gebissen- oder Gestoßenwerden von anderen Säugetieren",-,"ABO",
